Trace,HR,Time,Each_vid_frame_size
0.12028675,97,0,1547
0.77360657,97,0.011,1801
1.4119226,97,0.055,1368
1.5395677,97,0.067,1550
1.3443377,97,0.109,2022
1.1340589,97,0.12,2016
0.78861039,97,0.162,2024
0.63843695,97,0.173,2031
0.16214427,97,0.217,1989
-0.17258076,97,0.229,2018
-0.36781074,97,0.271,1993
-0.58935374,97,0.292,2020
-0.74930446,97,0.334,2050
-0.94755323,97,0.363,2046
-1.1638246,97,0.393,2034
-1.3440508,97,0.429,2016
-1.4071299,97,0.464,2032
-1.5332882,97,0.493,1958
-1.6481824,97,0.525,2009
-1.6481824,97,0.567,1448
-1.6481824,97,0.593,1485
-1.6481824,97,0.634,1431
-1.445428,97,0.661,2028
-0.35280691,97,0.702,2027
0.45821079,97,0.725,2033
0.79293582,97,0.766,1999
0.64744826,97,0.807,2035
0.36809771,97,0.849,2051
0.2329281,97,0.861,2052
-0.037411138,97,0.902,2032
-0.27021828,97,0.943,2050
-0.42791616,97,0.988,2037
-0.44291999,97,0.999,2028
-0.44291999,97,1.04,2037
-0.71325923,97,1.081,2042
-0.89348538,97,1.093,2009
-1.1788284,97,1.134,2017
-1.2989942,97,1.176,2032
-1.3102584,97,1.194,1991
-1.4521865,97,1.237,2023
-1.6256541,97,1.26,1956
-1.61439,97,1.293,2034
-1.3440508,97,1.327,
-0.1801052,97,1.362,
0.90877618,97,1.394,
1.4043981,97,1.429,
1.1881267,97,1.461,
0.90877618,97,1.493,
0.52259659,97,1.535,
0.09775848,97,1.561,
-0.34636383,97,1.603,
-0.63441028,97,1.63,
-0.66820269,97,1.661,
-0.71325923,97,1.703,
-0.82590057,97,1.729,
-0.9911229,97,1.771,
-1.1187681,97,1.792,
-1.1187681,97,1.834,
-1.1638246,97,1.861,
-1.2914698,97,1.903,
-1.4566921,97,1.945,
-1.0436588,97,1.986,
-0.074943235,97,2.027,
0.59338041,97,2.068,
0.67448218,97,2.109,
0.44320697,97,2.151,
0.12028675,97,2.192,
-0.33780308,97,2.234,
-0.57808961,97,2.245,
-0.70573478,97,2.287,
-0.69073096,97,2.299,
-0.57056517,97,2.34,
-0.53303307,97,2.352,
-0.63215745,97,2.393,
-0.8033723,97,2.405,
-1.0587077,97,2.446,
-1.2464133,97,2.488,
-1.3215225,97,2.5,
-1.3065052,97,2.54,
-1.2088812,97,2.56,
-0.50298036,97,2.602,
0.45821079,97,2.643,
1.1791154,97,2.684,
1.2091681,97,2.726,
0.86371965,97,2.767,
0.4206787,97,2.808,
0.015169843,97,2.849,
-0.22516174,97,2.89,
-0.35280691,97,2.902,
-0.36781074,97,2.915,
-0.55556134,97,2.956,
-0.71325923,97,2.968,
-0.81089675,97,3.009,
-0.90474952,97,3.029,
-0.99860229,97,3.071,
-1.1277794,97,3.113,
-1.2539377,97,3.128,
-1.0737115,97,3.172,
-0.5442972,97,3.194,
0.5633277,97,3.231,
1.3368133,97,3.261,
1.6116582,97,3.293,
1.509515,97,3.332,
1.3368133,97,3.361,
1.1701041,97,3.393,
0.94482142,97,3.428,
0.71953872,97,3.461,
0.52128995,97,3.495,
0.45821079,97,3.529,
0.29600725,97,3.561,
0.15182633,97,3.592,
-0.19510902,97,3.634,
-0.53303307,97,3.675,
-0.78836848,97,3.716,
-0.76584021,97,3.757,
0.082754652,97,3.799,
1.3218095,97,3.839,
1.927054,97,3.88,
1.7798543,97,3.921,
1.6372053,97,3.963,
1.4945112,97,4.004,
1.1415833,97,4.047,
0.65344078,97,4.088,
0.4882635,97,4.13,
0.41315425,97,4.142,
0.21039983,97,4.183,
0.052701941,97,4.195,
-0.26269383,97,4.237,
-0.44291999,97,4.25,
-0.62314615,97,4.29,
-0.66820269,97,4.302,
-0.72227053,97,4.343,
-0.6982554,97,4.354,
-0.30022593,97,4.396,
0.36809771,97,4.407,
1.1610928,97,4.45,
1.6747374,97,4.461,
1.9225483,97,4.503,
1.8324352,97.667,4.529,
1.5936356,99,4.56,
1.3683529,99,4.593,
1.0709797,99,4.63,
0.63843695,99,4.661,
0.25996202,99,4.698,
0.043690633,99,4.732,
-0.064445061,99,4.761,
-0.16505631,99,4.802,
-0.2852221,99,4.829,
-0.5105048,99,4.87,
-0.8033723,99,4.892,
-1.1367907,99,4.933,
-1.2449264,99,4.96,
-0.5480369,99,5.002,
0.42441839,99,5.029,
1.2316964,99,5.071,
1.4494547,99,5.093,
1.2917568,99,5.134,
1.1227947,99,5.161,
0.76608213,99,5.203,
0.33430531,99,5.229,
-0.02839983,99,5.261,
-0.17258076,99,5.295,
-0.24467122,99,5.33,
-0.3347843,99,5.361,
-0.61413484,99,5.394,
-0.85744015,99,5.429,
-1.0827228,99,5.464,
-1.262949,99,5.493,
-1.4431752,99,5.529,
-1.497243,99,5.564,
-1.0737115,99,5.596,
-0.23264112,99,5.63,
0.76459526,99,5.662,
1.1115306,99,5.693,
1.0364214,99,5.732,
0.88174226,99,5.763,
0.70602176,99,5.793,
0.43568252,99,5.829,
-0.037411138,99,5.861,
-0.41286728,99,5.903,
-0.6156217,99,5.944,
-0.78084403,99,5.986,
-1.028655,99,6.027,
-1.276466,99,6.068,
-1.4266529,99,6.11,
-1.5783448,99,6.152,
-1.5783448,99,6.193,
-1.3530621,99,6.234,
-0.17258076,99,6.275,
0.84119138,99,6.316,
1.1190551,99,6.358,
0.96883655,99,6.4,
0.65344078,99,6.44,
0.18034712,99,6.482,
-0.23264112,99,6.523,
-0.39033901,99,6.565,
-0.4729727,99,6.606,
-0.85595328,99,6.648,
-1.1638246,99,6.661,
-1.2088812,99,6.674,
-1.4416748,99,6.717,
-1.61439,99,6.729,
-1.6744639,99,6.771,
-1.6744639,99,6.784,
-1.6744639,99,6.825,
-1.6594465,99,6.837,
-1.1488208,99,6.879,
-0.35280691,99,6.892,
0.28550908,99,6.934,
0.84119138,99,6.96,
0.82618755,99,7.002,
0.74657264,99,7.03,
0.55733518,99,7.062,
0.32304118,99,7.093,
-0.097471505,99,7.131,
-0.49698784,99,7.164,
-0.73578749,99,7.193,
-0.92353809,99,7.231,
-1.0624474,99,7.261,
-1.2989942,99,7.292,
-1.5768444,99,7.334,
-1.5768444,99,7.375,
-1.5768444,99,7.416,
-1.5768444,99,7.458,
-1.5242769,99,7.47,
-0.72826305,99,7.511,
-0.14252804,99,7.53,
0.10420156,99,7.571,
0.12781119,99,7.593,
-0.010377214,99,7.629,
-0.2266486,99,7.661,
-0.50298036,99,7.697,
-0.75831576,99,7.729,
-0.87546277,99,7.761,
-1.028655,99,7.793,
-1.223885,99,7.83,
-1.5017487,99,7.863,
-1.6707107,99,7.893,
-1.6707107,99,7.931,
-1.6707107,99,7.961,
-1.6707107,99,7.993,
-1.5332882,99,8.032,
-0.83716471,99,8.062,
-0.13653552,99,8.092,
0.52128995,99,8.129,
0.74355386,99,8.17,
0.68349349,99,8.211,
0.45068635,99,8.252,
0.16534329,99,8.293,
-0.052414965,99,8.335,
-0.15455814,99,8.376,
-0.26269383,99,8.388,
-0.39786345,99,8.429,
-0.5480369,99,8.44,
-0.75079132,99,8.483,
-0.82590057,99,8.495,
-0.96859463,99,8.537,
-1.0624474,99,8.562,
-0.86645146,99,8.593,
-0.064445061,99,8.63,
0.85470834,99,8.66,
1.6296808,99,8.693,
1.9075445,99,8.73,
1.7468278,99,8.761,
1.5958884,99,8.793,
1.3743454,99,8.83,
1.0439458,99,8.861,
0.64744826,99,8.894,
0.42216556,99,8.929,
0.27798464,99,8.96,
0.070724556,99,8.994,
-0.21763729,99,9.029,
-0.72078367,99,9.07,
-1.223885,99,9.111,
-1.4191465,99,9.129,
-1.3891073,99,9.17,
-0.4729727,99,9.212,
0.30803735,99,9.229,
1.1490627,99,9.27,
1.3292889,99.25,9.312,
1.1791154,100,9.329,
0.92004032,100,9.37,
0.66547087,100,9.392,
0.27798464,100,9.431,
-0.037411138,100,9.461,
-0.22890143,100,9.494,
-0.37984084,100,9.53,
-0.51501045,100,9.561,
-0.60512353,100,9.595,
-0.76732707,100,9.63,
-0.94755323,100,9.66,
-1.0661871,100,9.697,
-0.63215745,100,9.731,
0.39513164,100,9.772,
